N,Отметка времени,пол,возраст,факультет,соцсети,видео,игры,фото видео,списывание,чтение,иные задачи,частота покупок,экран,камера,автономность,производительность,бренд
35,11.04.2022 14:29:35,Женский,20,ибм,Более 10 часов в неделю,2 - 3 часа в неделю,Менее 3 часов в неделю,"Иногда фотографирую, снимаю видео",Почти всегда списываю с телефона,Более 10 часов в неделю,,Раз в 4 - 5 лет,"5 - 6, 6 - 7, 2560 х 1440, 3120 х 1440 и близкие","10 - 20 Мп устроит, Более 20 Мп",Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд"
36,11.04.2022 15:30:24,Мужской,19,ибм,2 - 3 часа в неделю,"Смотрю ночью вместо того, чтобы спать, 10+ часов в неделю",Не играю,"Фотографирую материал на лекциях, семинарах",Нет,Более 10 часов в неделю,Пишу книгу,Раз в 2 - 3 года,Разрешение не принципиально,Не принципиально,"Нет, всегда ношу PowerBank",Выбираю производительность выше среднего,"Нет, бренд не важен"
37,11.04.2022 15:34:51,Женский,19,ибм,Более 10 часов в неделю,Менее часа в неделю,Не играю,"Фотографирую материал на лекциях, семинарах",Иногда,Читаю 5 - 10 часов в неделю,,Раз в 2 - 3 года,Разрешение не принципиально,10 - 20 Мп устроит,Да,"Нет, у меня нет задач, где производительность была бы важна","Нет, бренд не важен"
38,11.04.2022 15:40:54,Мужской,20,ибм,Более 10 часов в неделю,Более 10 часов в неделю,3 - 6 часов в неделю,"Иногда фотографирую, снимаю видео",Иногда,Не читаю с телефона,,Раз в 4 - 5 лет,"1920 х 1080, 2340 х 1080 и близкие, 2560 х 1440, 3120 х 1440 и близкие",Более 20 Мп,"Нет, всегда ношу PowerBank","Нет, у меня нет задач, где производительность была бы важна","Нет, бренд не важен"
39,11.04.2022 18:54:15,Мужской,30,иу,Более 10 часов в неделю,6 - 10 часов в неделю,3 - 6 часов в неделю,"Иногда фотографирую, снимаю видео",Почти всегда списываю с телефона,Не читаю с телефона,,Раз в 4 - 5 лет,"2560 х 1440, 3120 х 1440 и близкие",10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Нет, бренд не важен"
40,11.04.2022 18:58:44,Женский,20,иу,2 - 3 часа в неделю,2 - 3 часа в неделю,Не играю,"Фотографирую материал на лекциях, семинарах",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 4 - 5 лет,6 - 7,Более 20 Мп,Да,"Нет, у меня нет задач, где производительность была бы важна","Нет, бренд не важен"
41,11.04.2022 19:04:07,Женский,19,ибм,2 - 3 часа в неделю,2 - 3 часа в неделю,Не играю,"Фотографирую материал на лекциях, семинарах",Иногда,Читаю 5 - 10 часов в неделю,,Раз в 4 - 5 лет,"2560 х 1440, 3120 х 1440 и близкие",10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд"
42,11.04.2022 19:37:00,Женский,20,энерго,Более 10 часов в неделю,Более 10 часов в неделю,"Практически ежедневно, я киберспортсмен","Жить без фотографирования и съёмок не могу, и вообще я тиктокер(ша) по жизни",Почти всегда списываю с телефона,Не читаю с телефона,-,Раз в 2 - 3 года,"6 - 7, 1920 х 1080, 2340 х 1080 и близкие",Более 20 Мп,Нет,Только флагманские модели,"Да, предпочитаю конкретный бренд"
43,11.04.2022 20:01:52,Мужской,20,см,2 - 3 часа в неделю,6 - 10 часов в неделю,Не играю,"Фотографирую материал на лекциях, семинарах",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 4 - 5 лет,"5 - 6, 1920 х 1080, 2340 х 1080 и близкие",Не принципиально,Да,"Нет, у меня нет задач, где производительность была бы важна","Нет, бренд не важен"
44,12.04.2022 1:36:30,Мужской,20,иу,6 - 10 часов в неделю,6 - 10 часов в неделю,Не играю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 4 - 5 лет,"5 - 6, 6 - 7, 1920 х 1080, 2340 х 1080 и близкие",Более 20 Мп,Нет,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд"
45,17.04.2022 12:31:05,Женский,19,бмт,6 - 10 часов в неделю,Более 10 часов в неделю,Не играю,"Иногда фотографирую, снимаю видео",Иногда,Не читаю с телефона,,Раз в 2 - 3 года,"1920 х 1080, 2340 х 1080 и близкие",10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Нет, бренд не важен"
